Estado,Medicamento,Apresentacao,Data,Valor,Quantidade,Base
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2025-10-09,40810,53000,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2025-09-02,136884,134200,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2025-09-02,34884,34200,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2025-09-02,4896,4800,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2021-12-21,17420,13000,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2021-12-21,21708,16200,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2021-12-21,36180,27000,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2021-12-21,58692,43800,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2022-03-29,26532,19800,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2022-03-29,240798,179700,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2022-03-29,4690,3500,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2022-08-19,7370,5500,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2022-08-19,4824,3600,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2022-08-19,11524,8600,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2022-08-19,25862,19300,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2022-08-24,25594,19100,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2022-08-24,32428,24200,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2022-09-02,13400,10000,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2022-09-02,12998,9700,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2023-03-13,107226,66600,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2023-03-13,214774,133400,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2023-07-12,37674,23400,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2023-07-12,72450,45000,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2023-07-12,143934,89400,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2023-07-12,68264,42400,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2023-07-12,1288,800,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-04-02,19803,12300,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-04-02,13080,12000,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-04-18,11592,7200,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-04-18,72450,45000,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-05-09,1610,1000,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-05-09,14490,9000,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-05-09,47495,29500,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-05-10,1526,1400,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-05-10,1962,1800,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-05-10,7848,7200,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-05-29,20274,18600,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-07-08,1308,1200,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-07-08,218,200,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-07-08,17767,16300,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-07-08,31610,29000,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-08-08,2289,2100,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-08-08,31392,28800,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-08-08,26596,24400,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-12-06,35970,33000,LAI
GO,Hidroxiureia,500mg - Comprimido/Cápsula,2024-12-06,49050,45000,LAI
GO,Iloprosta,10mcg/ml - Não Especificado,2021-02-17,255748.5,10350,LAI
GO,Iloprosta,10mcg/ml - Não Especificado,2021-11-22,106747.2,4320,LAI
GO,Iloprosta,10mcg/ml - Não Especificado,2022-09-09,192981.3,7710,LAI
GO,Iloprosta,10mcg/ml - Não Especificado,2022-10-04,150180,6000,LAI
GO,Iloprosta,10mcg/ml - Não Especificado,2023-02-07,225270,9000,LAI
GO,Iloprosta,10mcg/ml - Não Especificado,2023-05-25,299268,10800,LAI
GO,Iloprosta,10mcg/ml - Não Especificado,2023-08-25,239414.4,8640,LAI
GO,Iloprosta,10mcg/ml - Não Especificado,2024-03-05,372422.4,13440,LAI
GO,Iloprosta,10mcg/ml - Não Especificado,2025-05-05,376236,12600,LAI
GO,Iloprosta,10mcg/ml - Não Especificado,2025-07-22,551812.8,18480,LAI
GO,Iloprosta,10mcg/ml - Não Especificado,2024-07-31,551116.8,18720,LAI
GO,Iloprosta,10mcg/ml - Não Especificado,2025-03-25,473395.2,16080,LAI
GO,Iloprosta,10mcg/ml - Não Especificado,2025-03-25,473395.2,16080,LAI
GO,Iloprosta,10mcg/ml - Não Especificado,2025-10-10,341880,12000,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-05-16,2832000,1500,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-05-16,2832000,1500,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-12-28,2265720,1434,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-12-28,1083880,686,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-12-28,3349600,2120,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-03-27,3634000,2300,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-03-27,3634000,2300,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-09-04,4740000,3000,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-10-29,2594360,1642,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-12-11,3896750,2834,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-12-11,3665750,2666,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-04-11,1375000,1000,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-04-25,198000,144,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-04-25,2964500,2156,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-10-08,4829000,3512,LAI
GO,Imunoglobulina Humana,5g - Injetável,2022-06-28,3956588.49,3000,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-01-18,611799.97,700,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-02-03,158032.04,170,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-02-17,548363.94,627,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-03-08,460543.55,527,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-03-08,17491.67,20,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-03-25,547409.46,626,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-04-09,465784.3,566,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-04-27,402310.08,489,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-04-27,167834.88,204,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-05-06,969855.42,1110,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-05-25,431316.04,500,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-06-14,563190.88,644,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-06-14,748589.12,856,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-07-16,1325693.06,1517,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-08-24,2214437.26,2534,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-08-31,3291.32,4,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-08-31,633579.1,770,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-08-31,505217.62,614,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-10-15,490904.3,575,LAI
GO,Imunoglobulina Humana,5g - Injetável,2021-11-23,1964470.95,2301,LAI
GO,Imunoglobulina Humana,5g - Injetável,2022-02-10,511344.62,621,LAI
GO,Imunoglobulina Humana,5g - Injetável,2022-03-22,1453646.24,1479,LAI
GO,Imunoglobulina Humana,5g - Injetável,2022-04-19,1140212.48,1180,LAI
GO,Imunoglobulina Humana,5g - Injetável,2022-04-19,452923.27,467,LAI
GO,Imunoglobulina Humana,5g - Injetável,2022-06-06,656427.23,618,LAI
GO,Imunoglobulina Humana,5g - Injetável,2022-07-22,520401.62,553,LAI
GO,Imunoglobulina Humana,5g - Injetável,2022-07-22,1080821.41,1042,LAI
GO,Imunoglobulina Humana,5g - Injetável,2022-08-01,453777.24,459,LAI
GO,Imunoglobulina Humana,5g - Injetável,2022-08-17,1165237.96,1129,LAI
GO,Imunoglobulina Humana,5g - Injetável,2022-08-26,278151.3,270,LAI
GO,Imunoglobulina Humana,5g - Injetável,2022-08-26,585147.92,568,LAI
GO,Imunoglobulina Humana,5g - Injetável,2022-08-26,79324.63,77,LAI
GO,Imunoglobulina Humana,5g - Injetável,2022-10-05,2604078.2,2573,LAI
GO,Imunoglobulina Humana,5g - Injetável,2022-11-09,565618.1,582,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-01-02,1340977.09,1330,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-01-10,783361.08,756,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-01-12,233138.13,234,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-01-23,1086395.06,1091,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-02-27,467492.68,376,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-04-17,1616292.98,1669,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-07-12,2118569.26,2182,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-08-08,2243029.8,2308,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-08-16,1606584,1680,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-09-22,3546675.99,3783,LAI
GO,Imunoglobulina Humana,5g - Injetável,2023-12-18,4374562,4300,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-03-13,1320099.11,1331,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-03-13,516733.01,521,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-03-21,3373257.84,3288,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-07-02,2602102.27,2392,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-08-14,1642215.6,1208,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-10-03,334425.78,234,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-10-03,121479.45,85,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-10-03,437326.02,306,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-10-15,402702.34,274,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-11-06,4146025.8,2922,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-11-27,407991.48,274,LAI
GO,Imunoglobulina Humana,5g - Injetável,2024-12-26,744188.2,505,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-01-10,3103574.54,2042,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-01-13,382526.4,240,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-01-29,1370392.8,980,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-02-17,1249668.96,894,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-03-07,481589.68,344,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-04-09,1403500.28,962,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-04-11,2191924.68,1452,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-04-11,615912.72,408,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-04-12,2426169.86,1678,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-07-02,719145,500,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-10-20,6233334.18,4343,LAI
GO,Imunoglobulina Humana,5g - Injetável,2025-10-20,1230017.82,857,LAI
GO,Leuprorrelina,3.75mg - Injetável,2021-12-03,337771.5,1650,LAI
GO,Leuprorrelina,3.75mg - Injetável,2022-03-04,777898,3800,LAI
GO,Leuprorrelina,3.75mg - Injetável,2022-05-27,11259.05,55,LAI
GO,Leuprorrelina,3.75mg - Injetável,2022-05-27,888441.4,4340,LAI
GO,Leuprorrelina,3.75mg - Injetável,2022-12-22,152286.16,724,LAI
GO,Leuprorrelina,3.75mg - Injetável,2022-12-22,256825.14,1221,LAI
GO,Leuprorrelina,3.75mg - Injetável,2022-12-22,137772.7,655,LAI
GO,Leuprorrelina,3.75mg - Injetável,2023-02-16,378612,1800,LAI
GO,Leuprorrelina,3.75mg - Injetável,2023-06-23,631020,3000,LAI
GO,Leuprorrelina,3.75mg - Injetável,2024-03-26,249033.4,1133,LAI
GO,Leuprorrelina,3.75mg - Injetável,2024-03-26,146606.6,667,LAI
GO,Leuprorrelina,3.75mg - Injetável,2024-07-19,527520,2400,LAI
GO,Leuprorrelina,3.75mg - Injetável,2021-07-02,432285,2300,LAI
GO,Leuprorrelina,3.75mg - Injetável,2025-03-28,173964,700,LAI
GO,Leuprorrelina,3.75mg - Injetável,2025-07-18,218697.6,880,LAI
GO,Leuprorrelina,3.75mg - Injetável,2025-10-01,39514.68,159,LAI
GO,Leuprorrelina,3.75mg - Injetável,2025-10-01,248520,1000,LAI
GO,Leuprorrelina,3.75mg - Injetável,2025-11-04,10189.32,41,LAI
GO,Leuprorrelina,11.25mg - Injetável,2021-07-06,411596.5,350,LAI
GO,Leuprorrelina,11.25mg - Injetável,2021-08-09,94079.2,80,LAI
GO,Leuprorrelina,11.25mg - Injetável,2021-08-09,44687.62,38,LAI
GO,Leuprorrelina,11.25mg - Injetável,2021-08-09,84671.28,72,LAI
GO,Leuprorrelina,11.25mg - Injetável,2021-08-09,211678.2,180,LAI
GO,Leuprorrelina,45mg - Injetável,2023-06-06,100800,80,LAI
GO,Leuprorrelina,45mg - Injetável,2023-08-22,176400,140,LAI
GO,Leuprorrelina,45mg - Injetável,2023-08-22,17640,14,LAI
GO,Leuprorrelina,45mg - Injetável,2023-12-08,126000,100,LAI
GO,Leuprorrelina,45mg - Injetável,2024-03-25,642600,510,LAI
GO,Leuprorrelina,45mg - Injetável,2024-04-03,37800,30,LAI
GO,Leuprorrelina,45mg - Injetável,2025-05-08,504000,400,LAI
GO,Leuprorrelina,45mg - Injetável,2025-06-26,239400,190,LAI
GO,Leuprorrelina,45mg - Injetável,2025-10-10,241920,192,LAI
GO,Leuprorrelina,45mg - Injetável,2025-02-27,112500,90,LAI
GO,Leuprorrelina,45mg - Injetável,2025-03-27,2500,2,LAI
GO,Leuprorrelina,45mg - Injetável,2025-03-27,110000,88,LAI
GO,Leuprorrelina,45mg - Injetável,2022-10-11,76741.8,60,LAI
GO,Leuprorrelina,45mg - Injetável,2023-03-24,76741.8,60,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2025-10-07,682704.71,337,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2025-10-07,709040.5,350,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2025-10-14,26335.79,13,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2023-06-19,355258.01,200,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2023-06-21,1776290,1000,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2023-12-21,1065774,600,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2024-03-21,2131548,1200,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2024-10-09,2564163.91,1367,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2024-10-09,249476.09,133,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2025-02-18,1623096,800,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2025-04-22,2840418,1400,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2025-04-22,202887,100,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2025-06-10,2536087.5,1250,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2022-05-03,22500,15,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2022-06-01,75000,50,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2022-08-05,105000,70,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2022-10-07,300000,200,LAI
GO,Mepolizumabe,100mg/ml - Injetável,2022-12-20,600000,400,LAI
GO,Octreotida,10mg - Injetável,2023-03-22,37273.68,12,LAI
GO,Octreotida,10mg - Injetável,2021-08-20,125904.48,48,LAI
GO,Octreotida,10mg - Injetável,2022-08-05,31476.12,12,LAI
GO,Omalizumabe,150mg - Injetável,2022-06-10,1409170,1000,LAI
GO,Omalizumabe,150mg - Injetável,2022-08-19,1395078.3,990,LAI
GO,Omalizumabe,150mg - Injetável,2023-03-23,868298.45,577,LAI
GO,Omalizumabe,150mg - Injetável,2023-05-12,868298.45,577,LAI
GO,Omalizumabe,150mg - Injetável,2023-05-12,866793.6,576,LAI
GO,Omalizumabe,150mg - Injetável,2023-08-24,1251555,750,LAI
GO,Omalizumabe,150mg - Injetável,2023-10-05,1251555,750,LAI
GO,Omalizumabe,150mg - Injetável,2024-03-26,1850299.5,1050,LAI
GO,Omalizumabe,150mg - Injetável,2024-03-26,1850299.5,1050,LAI
GO,Omalizumabe,150mg - Injetável,2024-07-26,3524380,2000,LAI
GO,Omalizumabe,150mg - Injetável,2024-10-29,451120.64,256,LAI
GO,Omalizumabe,150mg - Injetável,2025-07-04,1104888.6,1620,LAI
GO,Omalizumabe,150mg - Injetável,2025-09-12,750233,1100,LAI
GO,Omalizumabe,150mg - Injetável,2025-09-12,136406,200,LAI
GO,Omalizumabe,150mg - Injetável,2025-09-26,1159451,1700,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2021-07-28,74880,72000,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2023-01-24,103320,84000,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2023-06-01,100737,81900,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2024-08-07,39000,30000,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2024-11-08,58500,45000,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2021-07-21,77250,75000,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2021-07-21,79320.3,77010,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2025-06-30,129792,99840,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2021-08-10,658350,315000,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2022-03-14,36240.6,17340,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2022-03-14,243401.4,116460,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2022-07-29,119506.2,57180,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2023-01-24,281232,113400,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2023-04-05,427204.8,172260,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2023-08-17,458006.4,184680,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2024-07-17,193.8,60,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2024-07-17,126163.8,39060,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2024-07-17,428879.4,132780,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2024-07-17,471903,146100,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2024-08-28,193.8,60,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2024-08-28,126163.8,39060,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2024-08-28,428879.4,132780,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2024-08-28,471903,146100,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2024-09-06,110747.4,42270,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2025-01-24,314400,120000,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2025-03-31,491400,180000,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2025-06-04,368550,135000,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2025-09-19,737100,270000,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2025-10-22,166994.1,61170,LAI
GO,Pancreatina,0ui - Comprimido/Cápsula,2025-10-22,95085.9,34830,LAI
GO,Penicilamina,250mg - Comprimido/Cápsula,2025-02-06,143500,5000,LAI
GO,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2023-01-13,699.6,330,LAI
GO,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2021-08-20,3108,1200,LAI
GO,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2023-03-22,16020,9000,LAI
GO,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2023-12-07,6408,3600,LAI
GO,Ácido Ursodesoxicólico,150mg - Comprimido/Cápsula,2024-07-03,2772,2100,LAI
GO,Selexipague,1600mcg - Comprimido/Cápsula,2025-02-07,287712,2160,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2022-05-10,36990,411000,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2022-05-10,14310,159000,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2022-11-07,30780,342000,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2023-02-10,13832.1,153690,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2023-02-16,8016.3,89070,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2023-02-16,3510,39000,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2023-11-27,4876.2,54180,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2024-06-14,32400,360000,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2024-12-11,16200,180000,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2025-03-25,7038,78200,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2025-03-25,3762,41800,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2025-03-25,21600,240000,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2025-04-22,8100,90000,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2021-03-19,1080,10800,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2021-03-19,630,6300,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2021-03-19,17010,170100,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2021-03-23,10980,109800,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2021-03-23,16800,168000,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2021-03-23,6720,67200,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2021-07-29,5160,51600,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2021-07-29,1080,10800,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2021-07-29,16110,161100,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2021-07-29,16290,162900,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2021-07-29,12360,123600,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2025-04-22,4428,49200,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2025-04-22,4428,49200,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2025-04-22,6048,67200,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2025-04-22,6048,67200,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2025-04-22,1260,14000,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2025-04-22,1260,14000,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2023-09-05,11664,129600,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2023-09-05,12960,144000,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2023-09-05,13635,151500,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2023-09-05,6480,72000,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2024-03-27,9072,100800,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2024-03-27,783,8700,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2024-03-27,3888,43200,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2024-03-27,12960,144000,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2024-04-04,11718,130200,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2024-04-04,999,11100,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2024-04-04,9072,100800,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2024-04-04,108,1200,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2021-03-05,1110,11100,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2021-03-05,14010,140100,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2025-08-05,39.6,360,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2025-08-05,13.2,120,LAI
GO,Risperidona,2mg - Comprimido/Cápsula,2025-08-05,36907.2,335520,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2024-02-20,8214,2220,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2024-02-20,185814,50220,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2024-02-20,220668,59640,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2024-02-20,138750,37500,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2024-04-18,823664.48,255000,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2024-08-12,958147.2,296640,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2024-09-25,163954.8,50760,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2024-09-25,129458.4,40080,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2024-09-25,387.6,120,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2025-01-03,829020,246000,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2025-04-07,208872.6,61980,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2025-04-07,417947.4,124020,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2025-06-26,134058.6,39780,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2025-06-26,728931,216300,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2025-09-26,480022.8,142440,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2021-03-30,14040,4320,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2021-07-27,11340,3600,LAI
GO,Sacubitril + Valsartana,200mg - Comprimido/Cápsula,2021-09-08,114840,36000,LAI
GO,Rivastigmina,2mg/ml - Não Especificado,2021-07-30,4050,45,LAI
GO,Sacarato de Hidróxido Férrico,100mg - Injetável,2023-02-08,77798.8,13460,LAI
GO,Sacarato de Hidróxido Férrico,100mg - Injetável,2023-02-08,95601.2,16540,LAI
GO,Sacarato de Hidróxido Férrico,100mg - Injetável,2023-06-29,370468,52400,LAI
GO,Sacarato de Hidróxido Férrico,100mg - Injetável,2024-03-06,4206.65,595,LAI
GO,Sacarato de Hidróxido Férrico,100mg - Injetável,2024-03-06,128143.75,18125,LAI
GO,Sacarato de Hidróxido Férrico,100mg - Injetável,2024-06-04,165438,23400,LAI
