Data,Estado,Medicamento,Apresentacao,Quantidade,Valor,Base
2022-04-05,AL,Eltrombopague Olamina,50mg - Comprimido/Cápsula,936,221101.92,LAI
2023-05-17,AL,Eltrombopague Olamina,50mg - Comprimido/Cápsula,9360,1984132.7999999998,LAI
2023-09-19,AL,Eltrombopague Olamina,50mg - Comprimido/Cápsula,7490,1676636.5,LAI
2025-01-23,AL,Eltrombopague Olamina,50mg - Comprimido/Cápsula,18112,4236759.04,LAI
2025-09-09,AL,Eltrombopague Olamina,50mg - Comprimido/Cápsula,16708,3740085.8,LAI
NA,AL,Embonato De Triptorrelina,11.25mg - Não Especificado,NA,NA,LAI
NA,AL,Hidrogenotartarato De Rivastigmina,2mg/ml - Injetável,NA,NA,LAI
NA,AL,Hidroxiureia,100mg - Comprimido/Cápsula,NA,NA,LAI
2022-01-28,AL,Hidroxiureia,500mg - Comprimido/Cápsula,50196,72784.2,LAI
2022-02-02,AL,Hidroxiureia,500mg - Comprimido/Cápsula,20814,38297.76,LAI
2022-02-02,AL,Hidroxiureia,500mg - Comprimido/Cápsula,62442,90540.9,LAI
2023-09-19,AL,Hidroxiureia,500mg - Comprimido/Cápsula,9760,0,LAI
2024-03-21,AL,Hidroxiureia,500mg - Comprimido/Cápsula,73200,111264,LAI
2024-03-07,AL,Hidroxiureia,500mg - Comprimido/Cápsula,24400,41724,LAI
2025-02-12,AL,Hidroxiureia,500mg - Comprimido/Cápsula,27855,38997,LAI
2025-09-09,AL,Hidroxiureia,500mg - Comprimido/Cápsula,62675,85864.75,LAI
2025-09-09,AL,Hidroxiureia,500mg - Comprimido/Cápsula,20891,28829.579999999998,LAI
2022-03-08,AL,Iloprosta,10mcg/ml - Injetável,4212,110059.56,LAI
2024-01-03,AL,Iloprosta,10mcg/ml - Injetável,4212,118567.79999999999,LAI
2025-04-09,AL,Iloprosta,10mcg/ml - Injetável,12960,393724.8,LAI
NA,AL,Imunoglobulina Humana,5g - Não Especificado,NA,NA,LAI
NA,AL,Imunoglobulina Humana,5g - Não Especificado,NA,NA,LAI
NA,AL,Imunoglobulina Humana,5g - Não Especificado,NA,NA,LAI
NA,AL,Imunoglobulina Humana,5g - Não Especificado,NA,NA,LAI
NA,AL,Imunoglobulina Humana,5g - Não Especificado,NA,NA,LAI
NA,AL,Imunoglobulina Humana,5g - Não Especificado,NA,NA,LAI
2023-09-05,AL,Mepolizumabe,100mg - Injetável,145,271983.75,LAI
2025-07-24,AL,Mepolizumabe,100mg - Injetável,156,316503.72,LAI
NA,AL,Mesilato De Bromocriptina,2.5mg - Não Especificado,NA,NA,LAI
NA,AL,Mesilato De Desferroxamina,500mg - Injetável,NA,NA,LAI
2025-07-24,AL,Omalizumabe,150mg - Injetável,172,391031.68,LAI
2025-08-14,AL,Omalizumabe,150mg - Injetável,172,386262.12,LAI
