"","Estado","Medicamento","Apresentacao","Data","Valor","Quantidade"
"86","AL","Risperidona","1mg/ml",2023-11-29,18427.2,1745
"87","AL","Risperidona","1mg/ml",2024-01-29,22320.98,2858
"88","AL","Risperidona","1mg/ml",2024-03-07,13404.16,952
"89","AL","Risperidona","1mg/ml",2025-04-09,12028.52,2261
"90","AL","Risperidona","1mg/ml",2025-04-25,9299.55,753
"91","AL","Risperidona","1mg/ml",2025-10-23,22272.88,1736
"92","AL","Risperidona","1mg",2021-10-13,8787.36,109842
"93","AL","Risperidona","1mg",2021-08-05,3843.42,54906
"94","AL","Risperidona","1mg",2023-11-23,20595.9,158430
"95","AL","Risperidona","1mg",2025-09-09,9258.36,77153
"96","AL","Risperidona","2mg",2021-10-13,30198.3,274530
"97","AL","Risperidona","2mg",2021-08-05,10980,137250
"98","AL","Risperidona","2mg",2023-05-08,40279.2,309840
"99","AL","Risperidona","2mg",2025-09-09,18507.72,154231
"100","AL","Sacarato de Hidroxido Ferrico","100mg, frasco 5ml",2022-05-02,619195.2,59538
"101","AL","Sacarato de Hidroxido Ferrico","100mg, frasco 5ml",2022-02-17,201434.58,29754
"102","AL","Sacubitril Valsartana Sodica Hidratada","50mg",2023-03-28,3538.08,936
"103","AL","Sacubitril Valsartana Sodica Hidratada","50mg",2025-04-10,136234.8,33228
"104","AL","Sacubitril Valsartana Sodica Hidratada","100mg",2025-04-10,197890.6,48266
"105","AL","Sacubitril Valsartana Sodica Hidratada","200mg",2025-04-10,84492.8,20608
"106","BA","Acetato de Ciproterona","50mg comprimidos",2023-09-04,765,180
"107","BA","Acetato de Ciproterona","50mg comprimidos",2025-07-07,778.8,220
"108","BA","Acetato de Ciproterona","50mg comprimidos",2025-02-24,969.8,260
"109","BA","Acetato de Ciproterona","50mg comprimidos",2022-04-29,1140,380
"110","BA","Acetato de Ciproterona","50mg comprimidos",2021-09-14,2021.8,440
"111","BA","Acetato de Ciproterona","50mg comprimidos",2025-06-26,52650,15000
"112","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2022-03-18,32186.06,31
"113","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2021-07-06,58970.45,55
"114","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2021-07-05,101858.05,95
"115","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2024-10-29,135100,100
"116","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2025-10-14,140504,104
"117","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2022-03-18,123552.94,119
"118","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2025-10-14,163471,121
"119","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2024-04-10,168875,125
"120","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2023-09-04,168875,125
"121","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2024-07-30,199948,148
"122","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2023-02-02,155739,150
"123","BA","Acetato de Gosserrelina","8mg, subcutanea, seringa + depot",2022-05-04,155739,150
