Data,Estado,Medicamento,Apresentacao,Quantidade,Valor,Base
2025-07-22,ES,Leuprorrelina Acetato,Não Especificado,250,82885.4,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-07-22,ES,Leuprorrelina Acetato,Não Especificado,9000,2983874.4,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Rivastigmina,Não Especificado,7250,1868019.77,PNCP
2025-07-22,ES,Leuprorrelina Acetato,Não Especificado,250,82885.4,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-03-31,SP,Leuprorrelina Acetato,Não Especificado,150,226749,PNCP
2025-03-12,AL,Leuprorrelina Acetato,Não Especificado,6635,2295378.25,PNCP
2025-03-12,AL,Leuprorrelina Acetato,Não Especificado,231,79914.45,PNCP
2025-03-12,AL,Risperidona,Não Especificado,1736,23453.36,PNCP
2025-03-12,AL,Triptorrelina,Não Especificado,16,6720,PNCP
2025-01-30,CE,Leuprorrelina Acetato,375mg - Injetável,15345,4981037.64,PNCP
2025-06-23,ES,Leuprorrelina Acetato,Não Especificado,500,693622.8,PNCP
2024-10-11,SP,Danazol,Não Especificado,125140,NA,PNCP
2024-10-11,SP,Leuprorrelina Acetato,Não Especificado,1081,1843724.73,PNCP
2024-10-11,SP,Triptorrelina,Não Especificado,5630,32773900.42,PNCP
2025-07-22,ES,Leuprorrelina Acetato,Não Especificado,9000,2983874.4,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Rivastigmina,Não Especificado,7250,1868019.77,PNCP
2025-07-22,ES,Leuprorrelina Acetato,Não Especificado,250,82885.4,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-07-22,ES,Leuprorrelina Acetato,Não Especificado,9000,2983874.4,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Rivastigmina,Não Especificado,7250,1868019.77,PNCP
2025-07-22,ES,Leuprorrelina Acetato,Não Especificado,250,82885.4,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-07-22,ES,Leuprorrelina Acetato,Não Especificado,9000,2983874.4,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,12500,368083.75,PNCP
2025-07-22,ES,Rivastigmina,Não Especificado,7250,1868019.77,PNCP
2025-07-22,ES,Leuprorrelina Acetato,Não Especificado,250,82885.4,PNCP
2025-07-22,ES,Penicilamina,Não Especificado,10800,318024.36,PNCP
2025-03-31,SP,Leuprorrelina Acetato,Não Especificado,150,226749,PNCP
2025-03-12,AL,Leuprorrelina Acetato,Não Especificado,6635,2295378.25,PNCP
2025-03-12,AL,Leuprorrelina Acetato,Não Especificado,231,79914.45,PNCP
2025-03-12,AL,Risperidona,Não Especificado,1736,23453.36,PNCP
2025-03-12,AL,Triptorrelina,Não Especificado,16,6720,PNCP
2025-01-30,CE,Leuprorrelina Acetato,375mg - Injetável,15345,4981037.64,PNCP
2024-11-26,ES,Leuprorrelina Acetato,Não Especificado,60,41386.36,PNCP
2025-06-23,ES,Leuprorrelina Acetato,Não Especificado,500,693622.8,PNCP
2024-10-11,SP,Danazol,Não Especificado,125140,NA,PNCP
2024-10-11,SP,Leuprorrelina Acetato,Não Especificado,1081,1843724.73,PNCP
