Data,Estado,Medicamento,Apresentacao,Quantidade,Valor,Base
2024-02-15,CE,Acitretina,25mg - Comprimido/Cápsula,101000,909333.3,PNCP
2025-02-27,ES,Acitretina,Não Especificado,15000,54868.5,PNCP
2025-02-27,ES,Acitretina,Não Especificado,70000,681093,PNCP
2025-02-27,ES,Acitretina,Não Especificado,15000,54868.5,PNCP
2025-02-27,ES,Acitretina,Não Especificado,70000,681093,PNCP
2025-02-27,ES,Acitretina,Não Especificado,15000,54868.5,PNCP
2025-02-27,ES,Acitretina,Não Especificado,70000,681093,PNCP
2024-09-05,MG,Acitretina,10mg - Comprimido/Cápsula,489800,1648128.02,PNCP
2024-09-05,MG,Acitretina,25mg - Comprimido/Cápsula,572700,5649570.96,PNCP
2024-09-05,MG,Imunoglobulina Humana,5g - Não Especificado,10309,18509809.5,PNCP
2025-03-12,CE,Acitretina,10mg - Comprimido/Cápsula,79400,291398,PNCP
2025-03-12,CE,Acitretina,25mg - Comprimido/Cápsula,120900,1118723.97,PNCP
2025-03-12,CE,Acitretina,10mg - Comprimido/Cápsula,79400,291398,PNCP
2025-03-12,CE,Acitretina,25mg - Comprimido/Cápsula,120900,1118723.97,PNCP
2025-02-27,ES,Acitretina,Não Especificado,15000,54868.5,PNCP
2025-02-27,ES,Acitretina,Não Especificado,70000,681093,PNCP
2025-07-31,MG,Ambrisentana,10mg - Comprimido/Cápsula,130362,5918187.112199999,PNCP
2025-07-31,MG,Ambrisentana,5mg - Comprimido/Cápsula,7788,353539.3752,PNCP
2025-07-31,MG,Danazol,100mg - Comprimido/Cápsula,41820,NA,PNCP
2025-07-31,MG,Deferiprona,500mg - Comprimido/Cápsula,113110,1335749.923,PNCP
2025-07-31,MG,Eltrombopague Olamina,25mg - Comprimido/Cápsula,117208,14063869.965600003,PNCP
2025-07-31,MG,Eltrombopague Olamina,50mg - Comprimido/Cápsula,194144,46594928.8736,PNCP
2025-07-31,MG,Mepolizumabe,100mg - Não Especificado,18952,39450873.611200005,PNCP
2025-07-31,MG,Omalizumabe,75mg - Injetável,3590,4135838.3189999997,PNCP
2025-07-31,MG,Penicilamina,250mg - Comprimido/Cápsula,239596,7055191.7352,PNCP
2025-07-17,ES,Ambrisentana,Não Especificado,2135,105647.90999999999,PNCP
2025-07-17,ES,Bosentana,Não Especificado,19000,64902.1,PNCP
2025-07-17,ES,Omalizumabe,Não Especificado,7750,5425000,PNCP
2025-07-17,ES,Ambrisentana,Não Especificado,865,42803.48,PNCP
2025-07-17,ES,Bosentana,Não Especificado,1000,3415.9,PNCP
2025-07-17,ES,Omalizumabe,Não Especificado,250,175000,PNCP
2025-07-17,ES,Ambrisentana,Não Especificado,2135,105647.90999999999,PNCP
2025-07-17,ES,Bosentana,Não Especificado,19000,64902.1,PNCP
2025-07-17,ES,Omalizumabe,Não Especificado,7750,5425000,PNCP
2025-07-17,ES,Ambrisentana,Não Especificado,865,42803.48,PNCP
2025-07-17,ES,Bosentana,Não Especificado,1000,3415.9,PNCP
2025-07-17,ES,Omalizumabe,Não Especificado,250,175000,PNCP
NA,PB,Ambrisentana,10mg - Comprimido/Cápsula,7770,343278.6,PNCP
NA,PB,Ambrisentana,5mg - Comprimido/Cápsula,2820,124587.6,PNCP
NA,PB,Iloprosta,10mcg/ml - Injetável,23400,786006,PNCP
2024-10-08,ES,Ambrisentana,Não Especificado,6000,265471.8,PNCP
2025-01-22,CE,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,43500,51765,PNCP
2025-01-22,CE,Ambrisentana,10mg - Comprimido/Cápsula,53550,2376725.72,PNCP
2025-01-22,CE,Ambrisentana,5mg - Comprimido/Cápsula,2350,115267.5,PNCP
2024-10-08,ES,Ambrisentana,Não Especificado,6000,265471.8,PNCP
2024-10-08,ES,Ambrisentana,Não Especificado,6000,265471.8,PNCP
2024-10-08,ES,Ambrisentana,Não Especificado,6000,265471.8,PNCP
2024-07-05,ES,Ambrisentana,Não Especificado,2500,132890,PNCP
2024-07-05,ES,Bosentana,Não Especificado,18000,139926.6,PNCP
2024-07-05,ES,Ambrisentana,Não Especificado,2500,132890,PNCP
2024-07-05,ES,Bosentana,Não Especificado,18000,139926.6,PNCP
2025-07-17,ES,Ambrisentana,Não Especificado,2135,105647.90999999999,PNCP
2025-07-17,ES,Bosentana,Não Especificado,19000,64902.1,PNCP
2025-07-17,ES,Omalizumabe,Não Especificado,7750,5425000,PNCP
2025-07-17,ES,Ambrisentana,Não Especificado,865,42803.48,PNCP
2025-07-17,ES,Bosentana,Não Especificado,1000,3415.9,PNCP
2025-07-17,ES,Omalizumabe,Não Especificado,250,175000,PNCP
2025-07-17,ES,Ambrisentana,Não Especificado,2135,105647.90999999999,PNCP
2025-07-17,ES,Bosentana,Não Especificado,19000,64902.1,PNCP
2025-07-17,ES,Omalizumabe,Não Especificado,7750,5425000,PNCP
2025-07-17,ES,Ambrisentana,Não Especificado,865,42803.48,PNCP
2025-07-17,ES,Bosentana,Não Especificado,1000,3415.9,PNCP
2025-07-17,ES,Omalizumabe,Não Especificado,250,175000,PNCP
NA,PB,Ambrisentana,10mg - Comprimido/Cápsula,7770,343278.6,PNCP
NA,PB,Ambrisentana,5mg - Comprimido/Cápsula,2820,124587.6,PNCP
NA,PB,Iloprosta,10mcg/ml - Injetável,23400,786006,PNCP
2024-10-08,ES,Ambrisentana,Não Especificado,6000,265471.8,PNCP
2025-01-22,CE,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,43500,51765,PNCP
2025-01-22,CE,Ambrisentana,10mg - Comprimido/Cápsula,53550,2376725.72,PNCP
